year,overall_pick,team,player,position,games_played,point_shares
2024,205,Philadelphia Flyers,Austin Moline,D,0,0.0
2024,206,Tampa Bay Lightning,Harrison Meneghin,G,0,0.0
2024,207,Pittsburgh Penguins,Mac Swanson,C,0,0.0
2024,208,Detroit Red Wings,Fisher Scott,D,0,0.0
2024,209,St. Louis Blues,Antoine Dorion,C,0,0.0
2024,210,Montréal Canadiens,Makar Khanin,RW,0,0.0
2024,211,St. Louis Blues,Matvei Korotky,C,0,0.0
2024,212,Washington Capitals,Miroslav Satan,C,0,0.0
2024,213,Nashville Predators,Erik Påhlsson,C,0,0.0
2024,214,Anaheim Ducks,Darels Uljanskis,D,0,0.0
2024,215,Colorado Avalanche,Christian Humphreys,C,0,0.0
2024,216,Toronto Maple Leafs,Sam McCue,LW,0,0.0
2024,217,Colorado Avalanche,Nikita Prishchepov,C,10,-0.17591415753791015
2024,218,Edmonton Oilers,Bauer Berry,D,0,0.0
2024,219,Buffalo Sabres,Ryerson Leenders,G,0,0.0
2024,220,Carolina Hurricanes,Andrey Krutov,LW,0,0.0
2024,221,Vancouver Canucks,Basile Sansonnens,D,0,0.0
2024,222,Dallas Stars,William Samuelsson,C,0,0.0
2024,223,Pittsburgh Penguins,Finn Harding,D,0,0.0
2024,224,Montréal Canadiens,Rasmus Bergqvist,D,0,0.0
2024,225,Toronto Maple Leafs,Nathan Mayes,D,0,0.0
2025,1,New York Islanders,Matthew Schaefer,D,82,8.621393272805836
2025,2,San Jose Sharks,Michael Misa,C,45,2.233167926962889
2025,3,Chicago Blackhawks,Anton Frondell,C,12,1.0872857877177506
2025,4,Utah Mammoth,Caleb Desnoyers,C,0,0.0
2025,5,Nashville Predators,Brady Martin,C,3,0.08340051051808095
2025,6,Philadelphia Flyers,Porter Martone,RW,9,0.9929775706432644
2025,7,Boston Bruins,James Hagens,C,2,0.04720643124168019
2025,8,Seattle Kraken,Jake O'Brien,C,0,0.0
2025,9,Buffalo Sabres,Radim Mrtka,D,0,0.0
2025,10,Anaheim Ducks,Roger McQueen,C,0,0.0
2025,11,Pittsburgh Penguins,Benjamin Kindel,C,0,0.0
2025,12,Philadelphia Flyers,Jack Nesbitt,C,0,0.0
2025,13,Detroit Red Wings,Carter Bear,LW,0,0.0
2025,14,Columbus Blue Jackets,Jackson Smith,D,0,0.0
2025,15,Vancouver Canucks,Braeden Cootes,C,3,-0.04004709375588256
2025,16,New York Islanders,Victor Eklund,RW,1,0.0741501283662635
2025,17,New York Islanders,Kashawn Aitcheson,D,0,0.0
2025,18,Calgary Flames,Cole Reschny,C,0,0.0
2025,19,St. Louis Blues,Justin Carbonneau,RW,0,0.0
2025,20,Columbus Blue Jackets,Pyotr Andreyanov,G,0,0.0
2025,21,Nashville Predators,Cameron Reid,D,0,0.0
2025,22,Pittsburgh Penguins,Bill Zonnon,RW,0,0.0
2025,23,Ottawa Senators,Logan Hensler,D,0,0.0
2025,24,Pittsburgh Penguins,William Horcoff,C,0,0.0
2025,25,Chicago Blackhawks,Vaclav Nestrasil,RW,0,0.0
2025,26,Nashville Predators,Ryker Lee,RW,0,0.0
2025,27,Washington Capitals,Lynden Lakovic,LW,0,0.0
2025,28,Winnipeg Jets,Sascha Boumedienne,D,0,0.0
2025,29,Chicago Blackhawks,Mason West,C,0,0.0
2025,30,San Jose Sharks,Joshua Ravensbergen,G,0,0.0
2025,31,Los Angeles Kings,Henry Brzustewicz,D,0,0.0
2025,32,Calgary Flames,Cullen Potter,C,0,0.0
2025,33,San Jose Sharks,Simon (Haoxi) Wang,D,0,0.0
2025,34,Montréal Canadiens,Alexander Zharovsky,RW,0,0.0
2025,35,Nashville Predators,Jacob Rombach,D,0,0.0
2025,36,Seattle Kraken,Blake Fiddler,D,0,0.0
2025,37,Washington Capitals,Milton Gastrin,C,0,0.0
2025,38,Philadelphia Flyers,Carter Amico,D,0,0.0
2025,39,Pittsburgh Penguins,Peyton Kettles,D,0,0.0
2025,40,Philadelphia Flyers,Jack Murtagh,LW,0,0.0
2025,41,Carolina Hurricanes,Semyon Frolov,G,0,0.0
2025,42,New York Islanders,Daniil Prokhorov,RW,0,0.0
2025,43,New York Rangers,Malcolm Spence,LW,0,0.0
2025,44,Detroit Red Wings,Eddie Genborg,RW,0,0.0
2025,45,Anaheim Ducks,Eric Nilson,C,0,0.0
2025,46,Utah Mammoth,Max Psenicka,D,0,0.0
2025,47,Vancouver Canucks,Alexei Medvedev,G,0,0.0
2025,48,Philadelphia Flyers,Shane Vansaghi,RW,0,0.0
2025,49,Carolina Hurricanes,Charlie Cerrato,C,0,0.0
2025,50,New Jersey Devils,Conrad Fondrk,C,0,0.0
2025,51,Boston Bruins,William Moore,C,0,0.0
2025,52,Minnesota Wild,Theodor Hallquisth,D,0,0.0
2025,53,San Jose Sharks,Cole McKinney,C,0,0.0
2025,54,Calgary Flames,Theo Stockselius,C,0,0.0
2025,55,Vegas Golden Knights,Jakob Ihs Wozniak,RW,0,0.0
2025,56,Tampa Bay Lightning,Ethan Czata,C,0,0.0
2025,57,Philadelphia Flyers,Matthew Gard,C,0,0.0
2025,58,Nashville Predators,Jack Ivankovic,G,0,0.0
2025,59,Los Angeles Kings,Vojtech Cihar,LW,0,0.0
2025,60,Anaheim Ducks,Lasse Boelius,D,0,0.0
2025,61,Boston Bruins,Liam Pettersson,D,0,0.0
2025,62,Carolina Hurricanes,Ivan Ryabkin,C,0,0.0
2025,63,New Jersey Devils,Ben Kevan,RW,0,0.0
2025,64,Toronto Maple Leafs,Tinus Luc Koblar,C,0,0.0
2025,65,Vancouver Canucks,Kieren Dervin,C,0,0.0
2025,66,Chicago Blackhawks,Nathan Behm,RW,0,0.0
2025,67,Carolina Hurricanes,Kurban Limatov,D,0,0.0
2025,68,Seattle Kraken,Will Reynolds,D,0,0.0
2025,69,Montréal Canadiens,Hayden Paupanekis,C,0,0.0
2025,70,New York Rangers,Sean Barnhill,D,0,0.0
2025,71,Buffalo Sabres,David Bedkowski,D,0,0.0
2025,72,Anaheim Ducks,Noah Read,C,0,0.0
2025,73,Pittsburgh Penguins,Charlton Trethewey,D,0,0.0
2025,74,New York Islanders,Luca Romano,C,0,0.0
2025,75,Detroit Red Wings,Michal Pradel,G,0,0.0
2025,76,Columbus Blue Jackets,Malte Vass,D,0,0.0
2025,77,Colorado Avalanche,Francesco Dell'elce,D,0,0.0
2025,78,Utah Mammoth,Stepan Hoch,LW,0,0.0
2025,79,Boston Bruins,Cooper Simpson,LW,0,0.0
2025,80,Calgary Flames,Maceo Phillips,D,0,0.0
2025,81,Montréal Canadiens,Bryce Pickford,D,0,0.0
2025,82,Montréal Canadiens,Arseni Radkov,G,0,0.0
2025,83,Edmonton Oilers,Tommy Lafreniere,RW,0,0.0
2025,84,Pittsburgh Penguins,Gabriel D'Aigle,G,0,0.0
2025,85,Vegas Golden Knights,Mateo Nobert,C,0,0.0
2025,86,Toronto Maple Leafs,Tyler Hopkins,C,0,0.0
2025,87,Carolina Hurricanes,Roman Bausov,D,0,0.0
2025,88,Los Angeles Kings,Kristian Epperson,LW,0,0.0
2025,89,New York Rangers,Artyom Gonchar,D,0,0.0
2025,90,New Jersey Devils,Mason Moe,C,0,0.0
2025,91,Pittsburgh Penguins,Brady Peddle,D,0,0.0
2025,92,Winnipeg Jets,Owen Martin,C,0,0.0
2025,93,Ottawa Senators,Blake Vanek,RW,0,0.0
2025,94,Dallas Stars,Cameron Schmidt,RW,0,0.0
2025,95,San Jose Sharks,Teddy Mutryn,C,0,0.0
2025,96,Washington Capitals,Maxim Schafer,LW,0,0.0
2025,97,Ottawa Senators,Lucas Beckman,G,0,0.0
2025,98,Chicago Blackhawks,Julius Sumpf,C,0,0.0
2025,99,New Jersey Devils,Trenten Bennett,G,0,0.0
2025,100,Boston Bruins,Vashek Blanar,D,0,0.0
2025,101,Anaheim Ducks,Drew Schock,D,0,0.0
2025,102,Minnesota Wild,Adam Benak,C,0,0.0
2025,103,Buffalo Sabres,Matous Kucharcik,C,0,0.0
2025,104,Anaheim Ducks,Elijah Neuenschwander,G,0,0.0
2025,105,Pittsburgh Penguins,Travis Hayes,RW,0,0.0
2025,106,New York Islanders,Tomas Poletin,LW,0,0.0
2025,107,Chicago Blackhawks,Parker Holmes,LW,0,0.0
2025,108,Tampa Bay Lightning,Benjamin Rautiainen,C,0,0.0
2025,109,Detroit Red Wings,Brent Solomon,RW,0,0.0
2025,110,Utah Mammoth,Yegor Borikov,RW,0,0.0
2025,111,New York Rangers,Mikkel Eriksen,C,0,0.0
2025,112,Florida Panthers,Mads Kongsbak Klyvo,LW,0,0.0
2025,113,Montréal Canadiens,John Mooney,C,0,0.0
2025,114,New Jersey Devils,Gustav Hillstrom,C,0,0.0
2025,115,San Jose Sharks,Ilyas Magomedsultanov,D,0,0.0
2025,116,Buffalo Sabres,Samuel Meloche,G,0,0.0
2025,117,Edmonton Oilers,David Lewandowski,LW,0,0.0
2025,118,Colorado Avalanche,Linus Funck,D,0,0.0
2025,119,Detroit Red Wings,Michal Svrcek,LW,0,0.0
2025,120,Los Angeles Kings,Caeden Herrington,D,0,0.0
2025,121,Minnesota Wild,Lirim Amidovski,RW,0,0.0
2025,122,Nashville Predators,Alex Huang,D,0,0.0
2025,123,Minnesota Wild,Carter Klippenstein,C,0,0.0
2025,124,San Jose Sharks,Zachary Sharp,D,0,0.0
2025,125,Los Angeles Kings,Jimmy Lombardi,C,0,0.0
2025,126,Dallas Stars,Brandon Gorzynski,C,0,0.0
2025,127,Tampa Bay Lightning,Aiden Foster,C,0,0.0
2025,128,Florida Panthers,Shea Busch,LW,0,0.0
2025,129,Florida Panthers,Shamar Moses,RW,0,0.0
2025,130,Pittsburgh Penguins,Ryan Miller,C,0,0.0
2025,131,Edmonton Oilers,Asher Barnett,D,0,0.0
2025,132,Philadelphia Flyers,Max Westergard,LW,0,0.0
2025,133,Boston Bruins,Cole Chandler,C,0,0.0
2025,134,Seattle Kraken,Maxim Agafonov,D,0,0.0
2025,135,Buffalo Sabres,Noah Laberge,D,0,0.0
2025,136,Anaheim Ducks,Alexis Mathieu,D,0,0.0
2025,137,Toronto Maple Leafs,William Belle,RW,0,0.0
2025,138,New York Islanders,Sam Laurila,D,0,0.0
2025,139,New York Rangers,Zeb Lindgren,D,0,0.0
2025,140,Detroit Red Wings,Nikita Tyurin,D,0,0.0
2025,141,Minnesota Wild,Justin Kipkie,D,0,0.0
2025,142,Utah Mammoth,Ivan Tkach-Tkachenko,G,0,0.0
2025,143,Vancouver Canucks,Wilson Bjorck,C,0,0.0
2025,144,Calgary Flames,Ethan Wyttenbach,LW,0,0.0
2025,145,Montréal Canadiens,Alexis Cournoyer,G,0,0.0
2025,146,Dallas Stars,Atte Joki,C,0,0.0
2025,147,St. Louis Blues,Mikhail Fyodorov,RW,0,0.0
2025,148,Pittsburgh Penguins,Quinn Beauchesne,D,0,0.0
2025,149,Ottawa Senators,Dmitri Isayev,LW,0,0.0
2025,150,San Jose Sharks,Max Heise,C,0,0.0
2025,151,Tampa Bay Lightning,Everett Baldwin,D,0,0.0
2025,152,Los Angeles Kings,Petteri Rimpinen,G,0,0.0
2025,153,Toronto Maple Leafs,Harry Nansi,RW,0,0.0
2025,154,Pittsburgh Penguins,Jordan Charron,RW,0,0.0
2025,155,Washington Capitals,Jackson Crowder,C,0,0.0
2025,156,Winnipeg Jets,Viktor Klingsell,RW,0,0.0
2025,157,Philadelphia Flyers,Luke Vlooswyk,D,0,0.0
2025,158,Dallas Stars,Mans Goos,G,0,0.0
2025,159,Anaheim Ducks,Emile Guite,LW,0,0.0
2025,160,Columbus Blue Jackets,Owen Griffin,C,0,0.0
2025,161,New Jersey Devils,David Rozsival,RW,0,0.0
2025,162,Chicago Blackhawks,Ashton Cumby,D,0,0.0
2025,163,Nashville Predators,Daniel Nieminen,D,0,0.0
2025,164,Philadelphia Flyers,Nathan Quinn,C,0,0.0
2025,165,Boston Bruins,Kirill Yemelyanov,C,0,0.0
2025,166,New York Rangers,Samuel Jung,RW,0,0.0
2025,167,Buffalo Sabres,Ashton Schultz,C,0,0.0
2025,168,Anaheim Ducks,Anthony Allain-Samake,D,0,0.0
2025,169,Pittsburgh Penguins,Carter Sanderson,LW,0,0.0
2025,170,New York Islanders,Burke Hood,G,0,0.0
2025,171,New York Rangers,Evan Passmore,D,0,0.0
2025,172,Detroit Red Wings,Will Murphy,D,0,0.0
2025,173,Columbus Blue Jackets,Victor Raftheim,D,0,0.0
2025,174,Utah Mammoth,Ludvig Johnson,D,0,0.0
2025,175,Vancouver Canucks,Gabriel Chiarot,RW,0,0.0
2025,176,Calgary Flames,Aiden Lane,RW,0,0.0
2025,177,Montréal Canadiens,Carlos Handel,D,0,0.0
2025,178,New Jersey Devils,Sigge Holmgren,D,0,0.0
2025,179,St. Louis Blues,Love Harenstam,G,0,0.0
2025,180,Washington Capitals,Aron Dahlqvist,D,0,0.0
2025,181,Ottawa Senators,Bruno Idzan,LW,0,0.0
2025,182,Utah Mammoth,Reko Alanko,D,0,0.0
2025,183,Carolina Hurricanes,Viggo Nordlund,LW,0,0.0
2025,184,Los Angeles Kings,Jan Chovan,C,0,0.0
2025,185,Toronto Maple Leafs,Rylan Fellinger,D,0,0.0
2025,186,Vegas Golden Knights,Alexander Weiermair,C,0,0.0
2025,187,Vegas Golden Knights,Gustav Sjoqvist,D,0,0.0
2025,188,Winnipeg Jets,Edison Engle,D,0,0.0
2025,189,Montréal Canadiens,Andrew MacNiel,D,0,0.0
2025,190,Dallas Stars,Dawson Sharkey,RW,0,0.0
2025,191,Edmonton Oilers,Daniel Salonen,G,0,0.0
2025,192,Florida Panthers,Arvid Drott,RW,0,0.0
2025,193,Tampa Bay Lightning,Caleb Heil,G,0,0.0
2025,194,Chicago Blackhawks,Ilya Kanarsky,G,0,0.0
2025,195,Buffalo Sabres,Melvin Novotny,LW,0,0.0
2025,196,Los Angeles Kings,Brendan McMorrow,C,0,0.0
2025,197,Florida Panthers,Brendan Dunphy,D,0,0.0
2025,198,Columbus Blue Jackets,Jeremy Loranger,C,0,0.0
2025,199,Buffalo Sabres,Yevgeni Prokhorov,G,0,0.0
2025,200,Anaheim Ducks,Brady Turko,RW,0,0.0
2025,201,Pittsburgh Penguins,Kale Dach,C,0,0.0
2025,202,New York Islanders,Jacob Kvasnicka,RW,0,0.0
2025,203,New York Rangers,Felix Farhammar,D,0,0.0
2025,204,Detroit Red Wings,Grayden Robertson-Palmer,C,0,0.0
2025,205,Seattle Kraken,Karl Annborn,D,0,0.0
2025,206,Tampa Bay Lightning,Roman Luttsev,C,0,0.0
2025,207,Vancouver Canucks,Matthew Lansing,C,0,0.0
2025,208,Calgary Flames,Jakob Leander,D,0,0.0
2025,209,Montréal Canadiens,Maxon Vig,D,0,0.0
2025,210,San Jose Sharks,Richard Gallant,LW,0,0.0
2025,211,Calgary Flames,Yan Matveiko,LW,0,0.0
2025,212,Tampa Bay Lightning,Grant Spada,D,0,0.0
2025,213,Ottawa Senators,Andrei Trofimov,G,0,0.0
2025,214,Colorado Avalanche,Nolan Roed,C,0,0.0
2025,215,Tampa Bay Lightning,Marco Mignosa,RW,0,0.0
2025,216,Los Angeles Kings,William Sharpe,D,0,0.0
2025,217,Toronto Maple Leafs,Matthew Hlacar,LW,0,0.0
2025,218,Seattle Kraken,Loke Krantz,RW,0,0.0
2025,219,Buffalo Sabres,Ryan Rucinski,C,0,0.0
2025,220,Winnipeg Jets,Jacob Cloutier,RW,0,0.0
2025,221,Carolina Hurricanes,Filip Ekberg,RW,0,0.0
2025,222,Dallas Stars,Charlie Paquette,RW,0,0.0
2025,223,Edmonton Oilers,Aidan Park,C,0,0.0
2025,224,Florida Panthers,Yegor Midlak,G,0,0.0
2026,1,Toronto Maple Leafs,Gavin McKenna,LW,0,0.0
2026,2,San Jose Sharks,Ivar Stenberg,LW,0,0.0
2026,3,Vancouver Canucks,Caleb Malhotra,C,0,0.0
2026,4,Buffalo Sabres,Daxon Rudolph,D,0,0.0
2026,5,New York Rangers,Alberts Smits,D,0,0.0
2026,6,Calgary Flames,Carson Carels,D,0,0.0
2026,7,Seattle Kraken,Chase Reid,D,0,0.0
2026,8,Winnipeg Jets,Viggo Bjorck,C,0,0.0
2026,9,San Jose Sharks,Keaton Verhoeff,D,0,0.0
2026,10,Nashville Predators,Wyatt Cullen,LW,0,0.0
2026,11,St. Louis Blues,Tynan Lawrence,C,0,0.0
2026,12,New Jersey Devils,Alexander Command,C,0,0.0
2026,13,New York Islanders,Malte Gustafsson,D,0,0.0
2026,14,Columbus Blue Jackets,Oscar Hemming,LW,0,0.0
2026,15,Anaheim Ducks,Nikita Klepov,RW,0,0.0
2026,16,St. Louis Blues,Maddox Dagenais,C,0,0.0
2026,17,Utah Mammoth,Ethan Belchetz,LW,0,0.0
2026,18,Washington Capitals,Oliver Suvanto,C,0,0.0
2026,19,Los Angeles Kings,Elton Hermansson,RW,0,0.0
2026,20,Buffalo Sabres,Ilia Morozov,C,0,0.0
2026,21,San Jose Sharks,Ryan Lin,D,0,0.0
2026,22,Pittsburgh Penguins,Liam Ruck,RW,0,0.0
2026,23,Detroit Red Wings,Jeffrey (JP) Hurlbert,LW,0,0.0
2026,24,Vancouver Canucks,Adam Novotny,LW,0,0.0
2026,25,Ottawa Senators,Jonas Lagerberg Hoen,RW,0,0.0
2026,26,Montréal Canadiens,Gleb Pugachyov,RW,0,0.0
2026,27,Philadelphia Flyers,Maksim Sokolovskii,D,0,0.0
2026,28,Anaheim Ducks,Marcus Nordmark,LW,0,0.0
2026,29,Vegas Golden Knights,Juho Piiparinen,D,0,0.0
2026,30,Calgary Flames,Jack Hextall,C,0,0.0
2026,31,Nashville Predators,Thomas Bleyl,D,0,0.0
2026,32,Ottawa Senators,Jaxon Cover,RW,0,0.0
2026,33,Vancouver Canucks,Brooks Rogowski,C,0,0.0
2026,34,Chicago Blackhawks,Xavier Villeneuve,D,0,0.0
2026,35,Chicago Blackhawks,Ryan Roobroeck,LW,0,0.0
2026,36,Calgary Flames,Chase Harrington,LW,0,0.0
2026,37,New Jersey Devils,Matias Vanhanen,LW,0,0.0
2026,38,Seattle Kraken,Casey Mutryn,RW,0,0.0
2026,39,Pittsburgh Penguins,Markus Ruck,C,0,0.0
2026,40,Florida Panthers,Simas Ignatavicius,RW,0,0.0
2026,41,Vancouver Canucks,Niklas Aaram-Olsen,LW,0,0.0
2026,42,Calgary Flames,Tobias Trejbal,G,0,0.0
2026,43,Colorado Avalanche,Egor Shilov,C,0,0.0
2026,44,New Jersey Devils,Nikita Shcherbakov,D,0,0.0
2026,45,Anaheim Ducks,Jayden Kurtz,D,0,0.0
2026,46,Los Angeles Kings,Liam Lefebvre,C,0,0.0
2026,47,Detroit Red Wings,Victor Plante,LW,0,0.0
2026,48,Florida Panthers,Ryder Cali,C,0,0.0
2026,49,Los Angeles Kings,Adam Goljer,D,0,0.0
2026,50,Anaheim Ducks,Mathis Preston,RW,0,0.0
2026,51,Carolina Hurricanes,William Hakansson,D,0,0.0
2026,52,Tampa Bay Lightning,Oleg Kulebiakin,RW,0,0.0
2026,53,Philadelphia Flyers,Brek Liske,D,0,0.0
2026,54,Pittsburgh Penguins,Tomas Galvas,D,0,0.0
2026,55,Calgary Flames,Alan Shaikhlislamov,RW,0,0.0
2026,56,Boston Bruins,Yuri Ivanov,G,0,0.0
2026,57,Montréal Canadiens,Timofei Runtso,D,0,0.0
2026,58,Edmonton Oilers,Rudolfs Berzkalns,C,0,0.0
2026,59,Dallas Stars,Jakub Vanecek,D,0,0.0
2026,60,Toronto Maple Leafs,Alexander Bilecki,D,0,0.0
2026,61,Carolina Hurricanes,Wiggo Sorensson,C,0,0.0
2026,62,Philadelphia Flyers,Martin Psohlavec,G,0,0.0
2026,64,New York Rangers,Benjamin MacBeath,D,0,0.0
2026,65,Calgary Flames,Joe Iginla,RW,0,0.0
2026,66,Chicago Blackhawks,Samu Alalauri,D,0,0.0
2026,67,New York Rangers,Danai Shaiikov,G,0,0.0
2026,68,Carolina Hurricanes,Zachary Lansard,RW,0,0.0
2026,69,Toronto Maple Leafs,Ethan MacKenzie,D,0,0.0
2026,70,Nashville Predators,Dmitri Borichev,G,0,0.0
2026,71,Winnipeg Jets,Samuel Hrenak,G,0,0.0
2026,72,Ottawa Senators,Adam Nemec,LW,0,0.0
2026,73,Toronto Maple Leafs,Zach Olsen,RW,0,0.0
2026,74,Colorado Avalanche,Beckett Hamilton,C,0,0.0
2026,75,St. Louis Blues,Luke Schairer,D,0,0.0
2026,76,Toronto Maple Leafs,Mans Gudmundsson,D,0,0.0
2026,77,New York Rangers,Charlie Morrison,D,0,0.0
2026,78,Vancouver Canucks,Dmitri Ivchenko,G,0,0.0
2026,79,Detroit Red Wings,Michal Orsulak,G,0,0.0
2026,80,Los Angeles Kings,Blake Zielinski,C,0,0.0
2026,81,New York Rangers,Tomas Chrenko,C,0,0.0
2026,82,Anaheim Ducks,Rian Chudzinski,RW,0,0.0
2026,83,Minnesota Wild,Adam Andersson,C,0,0.0
2026,84,Edmonton Oilers,Malcom Gastrin,LW,0,0.0
2026,85,Toronto Maple Leafs,Juuso Ainasto,G,0,0.0
2026,86,Pittsburgh Penguins,Pierce Mbuyi,LW,0,0.0
2026,87,Ottawa Senators,Oscar Holmertz,C,0,0.0
2026,88,Boston Bruins,Nils Bartholdsson,RW,0,0.0
2026,89,Los Angeles Kings,Yegor Rybkin,G,0,0.0
2026,90,Tampa Bay Lightning,Tomas Kralovic,D,0,0.0
2026,91,Ottawa Senators,Louis Felix Bourque,RW,0,0.0
2026,92,Vegas Golden Knights,Benjamin Wilmott,C,0,0.0
2026,93,Montréal Canadiens,Cooper Cleaves,D,0,0.0
2026,94,Columbus Blue Jackets,Alessandro Di Iorio,C,0,0.0
2026,95,Vegas Golden Knights,Sean Burick,D,0,0.0
2026,96,Utah Mammoth,Adam Valentini,C,0,0.0
2026,97,Vancouver Canucks,Yaroslav Bryzgalov,LW,0,0.0
2026,98,Florida Panthers,Jonas Kemps,D,0,0.0
2026,99,Seattle Kraken,Viktor Fedorov,C,0,0.0
2026,100,Calgary Flames,Egor Barabanov,C,0,0.0
2026,101,Washington Capitals,Tyus Sparks,C,0,0.0
2026,102,New York Rangers,Spencer Bowes,LW,0,0.0
2026,103,Los Angeles Kings,Thomas Vandenberg,C,0,0.0
2026,104,Boston Bruins,Matvei Kotkov,RW,0,0.0
2026,105,Carolina Hurricanes,Michael Berchild,LW,0,0.0
2026,106,Nashville Predators,Jakub Floris,D,0,0.0
2026,107,St. Louis Blues,Landon Nycz,D,0,0.0
2026,108,Detroit Red Wings,Adam Levac,C,0,0.0
2026,109,New York Islanders,Lincoln Kuehne,D,0,0.0
2026,110,Ottawa Senators,Elliot Lennon,G,0,0.0
2026,111,Pittsburgh Penguins,Parker Von Richter,D,0,0.0
2026,112,Minnesota Wild,Kayden Lemire,RW,0,0.0
2026,113,Vegas Golden Knights,Jonah Sivertson,RW,0,0.0
2026,114,Toronto Maple Leafs,Patriks Plumins,G,0,0.0
2026,115,Utah Mammoth,Carl Axelsson,G,0,0.0
2026,116,Winnipeg Jets,Zach Wooten,LW,0,0.0
2026,117,Montréal Canadiens,Brayden Klimpke,D,0,0.0
2026,118,Nashville Predators,Justin Graf,LW,0,0.0
2026,119,New Jersey Devils,Lavr Gashilov,C,0,0.0
2026,120,Philadelphia Flyers,Marek Sklenicka,G,0,0.0
2026,121,Columbus Blue Jackets,Evan Jardine,LW,0,0.0
2026,122,Boston Bruins,Oscar Olsson,LW,0,0.0
2026,123,St. Louis Blues,Vladimir Proskurin,G,0,0.0
2026,124,Buffalo Sabres,Olivers Murnieks,C,0,0.0
2026,125,Carolina Hurricanes,Ryder Fetterolf,G,0,0.0
2026,126,Colorado Avalanche,Tobias Tvrznik,G,0,0.0
2026,127,San Jose Sharks,Brady Knowling,G,0,0.0
2026,128,Colorado Avalanche,Axel Elofsson,D,0,0.0
2026,129,Vancouver Canucks,Connor Davis,RW,0,0.0
2026,130,Utah Mammoth,Theodor Knights,D,0,0.0
2026,131,Seattle Kraken,Finn Kearns,D,0,0.0
2026,132,Calgary Flames,Simon Katolicky,LW,0,0.0
2026,133,Edmonton Oilers,Andrew Robinson,D,0,0.0
2026,134,Tampa Bay Lightning,Morgan Anderberg,C,0,0.0
2026,135,Winnipeg Jets,Alexandre Taillefer,D,0,0.0
2026,136,Philadelphia Flyers,Kent Sauer,C,0,0.0
2026,137,Minnesota Wild,Filip Ruzicka,G,0,0.0
2026,138,Nashville Predators,Philip Hemmyr,LW,0,0.0
2026,139,St. Louis Blues,Nicholas Bogas,D,0,0.0
2026,140,Colorado Avalanche,Cole Tuminaro,D,0,0.0
2026,141,New York Islanders,Vladimir Dravecky,D,0,0.0
2026,142,Columbus Blue Jackets,Parker Snell,G,0,0.0
2026,143,Detroit Red Wings,Beckham Edwards,C,0,0.0
2026,144,Washington Capitals,Brian McFadden,D,0,0.0
2026,145,Los Angeles Kings,Vertti Svensk,D,0,0.0
2026,146,Anaheim Ducks,Eric Frossard,D,0,0.0
2026,147,Utah Mammoth,Florent Houle,RW,0,0.0
2026,148,Seattle Kraken,Luken Huff,D,0,0.0
2026,149,New Jersey Devils,Daniil Rusakovich,G,0,0.0
2026,150,St. Louis Blues,Carter Stevens,RW,0,0.0
2026,151,Ottawa Senators,Harris Pangretitsch,D,0,0.0
2026,152,Colorado Avalanche,Theodore Lechner,D,0,0.0
2026,153,Los Angeles Kings,Giorgos Pantelas,D,0,0.0
2026,154,Tampa Bay Lightning,Cooper Soller,C,0,0.0
2026,155,Dallas Stars,Ryan Brown,LW,0,0.0
2026,156,Buffalo Sabres,Doman Szongoth,C,0,0.0
2026,157,Boston Bruins,Jacob Vandeven,D,0,0.0
2026,158,Toronto Maple Leafs,Cooper Williams,C,0,0.0
2026,159,Vegas Golden Knights,Will McLaughlin,D,0,0.0
2026,160,Pittsburgh Penguins,Matvei Nikonovich,G,0,0.0
2026,161,Toronto Maple Leafs,Yaroslav Fedoseyev,D,0,0.0
2026,162,New York Rangers,Andre Mondoux,D,0,0.0
2026,163,New York Rangers,Darian Anderson,RW,0,0.0
2026,164,Calgary Flames,Bode Laylin,D,0,0.0
2026,165,Carolina Hurricanes,Zachary Jovanovski,G,0,0.0
2026,166,Seattle Kraken,Ola Palme,D,0,0.0
2026,167,Winnipeg Jets,Landon Hafele,C,0,0.0
2026,168,Florida Panthers,Vilho Vanhatalo,RW,0,0.0
2026,169,Toronto Maple Leafs,Brody Pepoy,RW,0,0.0
2026,170,Boston Bruins,Roberto Henriquez,G,0,0.0
2026,171,St. Louis Blues,Lars Steiner,RW,0,0.0
2026,172,New Jersey Devils,Luke Wilfley,C,0,0.0
2026,173,New York Islanders,Artyom Matyuk,C,0,0.0
2026,174,San Jose Sharks,Jake Gustafson,C,0,0.0
2026,175,Detroit Red Wings,Luka Arkko,LW,0,0.0
2026,176,Vancouver Canucks,Lucian Bernat,RW,0,0.0
2026,177,Los Angeles Kings,Alex Kostov,RW,0,0.0
2026,178,Anaheim Ducks,Gleb Peshkov,G,0,0.0
2026,179,Nashville Predators,Benjamin Cossette Ayotte,D,0,0.0
2026,180,Edmonton Oilers,Caden Harvey,C,0,0.0
2026,181,Florida Panthers,Cole Zurawski,RW,0,0.0
2026,182,Columbus Blue Jackets,Anttoni Uronen,C,0,0.0
2026,183,Ottawa Senators,Alexander Grunin,D,0,0.0
2026,184,Vancouver Canucks,Samuel Eriksson,D,0,0.0
2026,185,Columbus Blue Jackets,Jonas Woo,D,0,0.0
2026,186,Tampa Bay Lightning,Stepan Shurygin,G,0,0.0
2026,187,Dallas Stars,Anton Emil Wilde Larsen,G,0,0.0
